quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005209;Гражданский;Кирпичные;1965;2;37.80000001;01.10.2024;7500000.0;198412.7
78:10:0005209;Гражданский;Кирпичные;1966;3;44.80000001;01.10.2024;8800000.0;196428.57
78:10:0005209;Гражданский;Кирпичные;1968;1;49.70000001;01.10.2024;6645000.0;133702.21
78:10:0005209;Бутлерова;Кирпичные;1964;5;31.10000001;01.10.2024;5300000.0;170418.01
78:10:0005209;Гражданский;Кирпичные;1966;8;58.90000001;01.10.2024;9300000.0;157894.74
78:10:0005209;Верности;Кирпичные;1964;4;64.70000001;01.01.2025;11200000.0;173106.65
78:10:0005209;Гражданский;Кирпичные;1964;5;32.00000001;01.01.2025;5555000.0;173593.75
78:10:0005209;Верности;Кирпичные;1963;5;41.90000001;01.01.2025;7200000.0;171837.71
78:10:0005209;Фаворского;Кирпичные;1965;4;30.10000001;01.01.2025;6300000.0;209302.33
78:10:0005209;Гражданский;Кирпичные;1963;2;88.70000001;01.01.2025;13120000.0;147914.32
78:10:0005209;Бутлерова;Кирпичные;1968;2;32.00000001;01.01.2025;5700000.0;178125.0
78:10:0005209;Верности;Кирпичные;1969;3;35.20000001;01.01.2025;7750000.0;220170.45
78:10:0005209;Бутлерова;Кирпичные;1964;2;30.70000001;01.01.2025;6000000.0;195439.74
78:10:0005209;Верности;Кирпичные;1964;7;32.20000001;01.01.2025;7500000.0;232919.25
78:10:0005209;Гражданский;Кирпичные;1969;8;32.40000001;01.01.2025;6200000.0;191358.02
78:10:0005209;Гражданский;Кирпичные;1963;1;74.90000001;01.01.2025;12790000.0;170761.01
78:10:0005209;Гражданский;Кирпичные;1968;4;102.40000001;01.01.2025;16500000.0;161132.81
78:10:0005209;Гражданский;Кирпичные;1973;10;77.20000001;01.01.2025;13600000.0;176165.8
78:10:0005209;Бутлерова;Кирпичные;1964;7;78.60000001;01.01.2025;15150000.0;192748.09
78:10:0005209;Бутлерова;Кирпичные;1964;5;46.80000001;01.01.2025;9500000.0;202991.45
78:10:0005209;Гражданский;Кирпичные;1966;6;59.00000001;01.01.2025;9000000.0;152542.37
78:10:0005209;Гражданский;Кирпичные;1963;4;44.20000001;01.01.2025;7450000.0;168552.04
78:10:0005209;Бутлерова;Кирпичные;1963;5;31.80000001;01.01.2025;5350000.0;168238.99
78:10:0005209;Бутлерова;Кирпичные;1963;4;31.50000001;01.01.2025;5450000.0;173015.87
78:10:0005209;Бутлерова;Кирпичные;1963;1;42.00000001;01.01.2025;5800000.0;138095.24
78:10:0005209;Верности;Кирпичные;1965;8;48.50000001;01.01.2025;12100000.0;249484.54
